package;test_class;test_case;suite;result
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;original;fail
com.fsck.k9.debug;VariousMenuTest;testSettings;original;fail
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;original;fail
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;original;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;original;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;original;fail
com.fsck.k9.debug;MessageSortTest;testSortBySender;original;fail
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;original;fail
com.fsck.k9.debug;MessageSortTest;testSortByArrival;original;fail
com.fsck.k9.debug;MessageSortTest;testSortByDate;original;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;original;fail
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;original;fail
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;original;fail
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;original;fail
com.fsck.k9.debug;SendMessagesTest;testSendMessage;original;fail
com.fsck.k9.debug;SendMessagesTest;testDiscard;original;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;fail
com.fsck.k9.debug;SendMessagesTest;testSentMessage;original;fail
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;original;fail
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;original;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;original;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;original;fail
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;original;fail
com.fsck.k9.debug;MessageOperationsTest;testReply;original;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;original;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;original;fail
com.fsck.k9.debug;VariousMenuTest;testRightMenuContent;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testSettings;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testBackToUnifiedInbox;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testAccountFolders;retranslated;pass
com.fsck.k9.debug;VariousMenuTest;testAbout;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortBySubject;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortBySender;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortByReadUnread;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortByArrival;retranslated;pass
com.fsck.k9.debug;MessageSortTest;testSortByDate;retranslated;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesRight;retranslated;pass
com.fsck.k9.debug;MessageButtonsTest;testNavigateMessagesLeft;retranslated;pass
com.fsck.k9.debug;MessageButtonsTest;testInsideMessageButtons;retranslated;fail
com.fsck.k9.debug;SelectReadUnreadTest;testSetUnsetStarTest;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectAll;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testSelectButtons;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkAsReadUnread;retranslated;pass
com.fsck.k9.debug;SelectReadUnreadTest;testMarkTwoAsReadUnread;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testSendMessage;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testDiscard;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testSentMessage;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testSentMessage;retranslated;pass
com.fsck.k9.debug;SendMessagesTest;testDraftDelete;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testStarFromInside;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteAndRestore;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteFromInside;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testDeleteMessage;retranslated;pass
com.fsck.k9.debug;MessageOperationsTest;testReply;retranslated;fail
com.fsck.k9.debug;MessageOperationsTest;testReplyAll;retranslated;fail
com.fsck.k9.debug;MessageOperationsTest;testForward;retranslated;fail
io.github.project_travel_mate;CityInfoTest;testAllButtonsDisplayed;original;fail
io.github.project_travel_mate;CityInfoTest;testKnowMoreContent;original;fail
io.github.project_travel_mate;CityInfoTest;testFunFactsContent;original;fail
io.github.project_travel_mate;CityInfoTest;testHangoutContent;original;fail
io.github.project_travel_mate;CityInfoTest;testMonumentsContent;original;fail
io.github.project_travel_mate;CityInfoTest;testShoppingContent;original;fail
io.github.project_travel_mate;CityInfoTest;testNotifications;original;fail
io.github.project_travel_mate;HomeMenuTest;testHomeMenu;original;fail
io.github.project_travel_mate;HomeMenuTest;testPopularCities;original;fail
io.github.project_travel_mate;HomeMenuTest;testChecklist;original;fail
io.github.project_travel_mate;HomeMenuTest;testCompass;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsContent;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortAlphabetically;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortVotes;original;fail
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortRating;original;fail
io.github.project_travel_mate;OtherMenusTest;testLeftMenuContent;original;fail
io.github.project_travel_mate;OtherMenusTest;testAboutScreen;original;fail
io.github.project_travel_mate;OtherMenusTest;testSettingsMenu;original;fail
io.github.project_travel_mate;OtherMenusTest;testUserMenu;original;pass
io.github.project_travel_mate;LoggingTest;testLogoutFromMenu;original;fail
io.github.project_travel_mate;LoggingTest;testWrongLogin;original;fail
io.github.project_travel_mate;LoggingTest;testRightLogin;original;fail
io.github.project_travel_mate;LoggingTest;testLogoutFromProfile;original;fail
io.github.project_travel_mate;TripsTest;testEmptyTripsAtBeginning;original;fail
io.github.project_travel_mate;TripsTest;testAddAndRemoveTrip;original;fail
io.github.project_travel_mate;TripsTest;testTripInfoFields;original;fail
io.github.project_travel_mate;TripsTest;testAddTwoTrips;original;fail
io.github.project_travel_mate;AdvancedFeaturesTest;testSetUnsetFavouriteCity;original;fail
io.github.project_travel_mate;AdvancedFeaturesTest;testFavouriteCityMenu;original;fail
io.github.project_travel_mate;AdvancedFeaturesTest;testRightSearch;original;pass
io.github.project_travel_mate;CityInfoTest;testAllButtonsDisplayed;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testKnowMoreContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testFunFactsContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testHangoutContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testMonumentsContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testShoppingContent;retranslated;pass
io.github.project_travel_mate;CityInfoTest;testNotifications;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testHomeMenu;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testPopularCities;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testChecklist;retranslated;pass
io.github.project_travel_mate;HomeMenuTest;testCompass;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsContent;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortAlphabetically;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortVotes;retranslated;pass
io.github.project_travel_mate;RestaurantTest;testRestaurantsSortRating;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testLeftMenuContent;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testAboutScreen;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testSettingsMenu;retranslated;pass
io.github.project_travel_mate;OtherMenusTest;testUserMenu;retranslated;pass
io.github.project_travel_mate;LoggingTest;testLogoutFromMenu;retranslated;pass
io.github.project_travel_mate;LoggingTest;testWrongLogin;retranslated;pass
io.github.project_travel_mate;LoggingTest;testRightLogin;retranslated;fail
io.github.project_travel_mate;LoggingTest;testLogoutFromProfile;retranslated;pass
io.github.project_travel_mate;TripsTest;testEmptyTripsAtBeginning;retranslated;pass
io.github.project_travel_mate;TripsTest;testAddAndRemoveTrip;retranslated;pass
io.github.project_travel_mate;TripsTest;testTripInfoFields;retranslated;pass
io.github.project_travel_mate;TripsTest;testAddTwoTrips;retranslated;pass
io.github.project_travel_mate;AdvancedFeaturesTest;testSetUnsetFavouriteCity;retranslated;fail
io.github.project_travel_mate;AdvancedFeaturesTest;testFavouriteCityMenu;retranslated;pass
io.github.project_travel_mate;AdvancedFeaturesTest;testRightSearch;retranslated;pass
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;original;pass
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;original;fail
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;original;fail
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;original;pass
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;original;fail
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;original;fail
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;original;fail
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;original;fail
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;original;fail
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;original;fail
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;original;fail
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;original;fail
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;original;fail
it.feio.android.omninotes.alpha;TestSettings;testSettings1;original;fail
it.feio.android.omninotes.alpha;TestSettings;testSettings2;original;fail
it.feio.android.omninotes.alpha;TestUndoOrder;testUndo;original;fail
it.feio.android.omninotes.alpha;TestUndoOrder;testTrashUndo;original;fail
it.feio.android.omninotes.alpha;TestUndoOrder;testSelectAll;original;fail
it.feio.android.omninotes.alpha;TestUndoOrder;testOrderByCreationDate;original;fail
it.feio.android.omninotes.alpha;TestUndoOrder;testOrderByModificationDate;original;fail
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;original;fail
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;original;fail
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;original;fail
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;original;fail
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;original;fail
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testRemoveCategory;original;fail
it.feio.android.omninotes.alpha;TestSearchChecklist;testWrongSearch;original;fail
it.feio.android.omninotes.alpha;TestSearchChecklist;testSearch;original;fail
it.feio.android.omninotes.alpha;TestSearchChecklist;testDisableChecklist;original;fail
it.feio.android.omninotes.alpha;TestSearchChecklist;testCreateChecklist;original;fail
it.feio.android.omninotes.alpha;TestHome;testTextNoteIsDisplayed;retranslated;pass
it.feio.android.omninotes.alpha;TestHome;testChecklistIsDisplayed;retranslated;pass
it.feio.android.omninotes.alpha;TestHome;testCameraIsDisplayed;retranslated;pass
it.feio.android.omninotes.alpha;TestHome;testReducedViewMenu;retranslated;pass
it.feio.android.omninotes.alpha;TestHome;testLeftMenuContent;retranslated;pass
it.feio.android.omninotes.alpha;TestHome;testOrderByMenu;retranslated;pass
it.feio.android.omninotes.alpha;TestHome;testSearchButtons;retranslated;pass
it.feio.android.omninotes.alpha;TestNoteCreation;testCreateNote;retranslated;pass
it.feio.android.omninotes.alpha;TestNoteCreation;testDeleteNote;retranslated;pass
it.feio.android.omninotes.alpha;TestNoteCreation;testRestoreFromTrash;retranslated;pass
it.feio.android.omninotes.alpha;TestNoteCreation;testArchiveNote;retranslated;pass
it.feio.android.omninotes.alpha;TestNoteCreation;testAddReminder;retranslated;fail
it.feio.android.omninotes.alpha;TestNoteCreation;testSwipeLeftRight;retranslated;pass
it.feio.android.omninotes.alpha;TestSettings;testSettings1;retranslated;pass
it.feio.android.omninotes.alpha;TestSettings;testSettings2;retranslated;pass
it.feio.android.omninotes.alpha;TestUndoOrder;testUndo;retranslated;pass
it.feio.android.omninotes.alpha;TestUndoOrder;testTrashUndo;retranslated;pass
it.feio.android.omninotes.alpha;TestUndoOrder;testSelectAll;retranslated;pass
it.feio.android.omninotes.alpha;TestUndoOrder;testOrderByCreationDate;retranslated;pass
it.feio.android.omninotes.alpha;TestUndoOrder;testOrderByModificationDate;retranslated;pass
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;retranslated;pass
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;retranslated;pass
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;retranslated;pass
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;retranslated;pass
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;retranslated;pass
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testRemoveCategory;retranslated;pass
it.feio.android.omninotes.alpha;TestSearchChecklist;testWrongSearch;retranslated;pass
it.feio.android.omninotes.alpha;TestSearchChecklist;testSearch;retranslated;pass
it.feio.android.omninotes.alpha;TestSearchChecklist;testDisableChecklist;retranslated;pass
it.feio.android.omninotes.alpha;TestSearchChecklist;testCreateChecklist;retranslated;pass
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;original;fail
org.ligi.passandroid;TestHomeActivity;testScanIsShown;original;fail
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;original;fail
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;original;fail
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;original;pass
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;original;fail
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;original;pass
org.ligi.passandroid;TestPassCreation;testCreatePass;original;fail
org.ligi.passandroid;TestPassCreation;testCreateMultiplePasses;original;fail
org.ligi.passandroid;TestPassCreation;testDeletePass;original;fail
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;original;fail
org.ligi.passandroid;TestPassCreation;testEditPass;original;fail
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;original;fail
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;original;fail
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;original;fail
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;original;fail
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;original;fail
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;original;fail
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;original;fail
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;original;fail
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;original;fail
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;original;fail
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;original;fail
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;original;fail
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;original;fail
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;original;fail
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;original;fail
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;original;fail
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;original;fail
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;original;fail
org.ligi.passandroid;TestHomeActivity;testCreatePassIsShown;retranslated;pass
org.ligi.passandroid;TestHomeActivity;testScanIsShown;retranslated;pass
org.ligi.passandroid;TestHomeActivity;testDemoPassIsShown;retranslated;pass
org.ligi.passandroid;TestHomeActivity;testOpenFileIsShown;retranslated;pass
org.ligi.passandroid;TestHomeActivity;testFabButtonGoesBackWithClick;retranslated;pass
org.ligi.passandroid;TestHomeActivity;testWhatIsIt;retranslated;pass
org.ligi.passandroid;TestHomeActivity;testLeftMenuIsShown;retranslated;pass
org.ligi.passandroid;TestPassCreation;testCreatePass;retranslated;pass
org.ligi.passandroid;TestPassCreation;testCreateMultiplePasses;retranslated;fail
org.ligi.passandroid;TestPassCreation;testDeletePass;retranslated;pass
org.ligi.passandroid;TestPassCreation;testDeleteWithLongClick;retranslated;pass
org.ligi.passandroid;TestPassCreation;testEditPass;retranslated;pass
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponClick;retranslated;pass
org.ligi.passandroid;TestPassCreation;testMenuIsShownUponLongClick;retranslated;pass
org.ligi.passandroid;TestPassEditActivityTypes;testSetToAnyThenGenericWorks;retranslated;pass
org.ligi.passandroid;TestPassEditActivityTypes;testSetToBoardingPassWorks;retranslated;pass
org.ligi.passandroid;TestPassEditActivityTypes;testSetToCouponWorks;retranslated;pass
org.ligi.passandroid;TestPassEditActivityTypes;testSetToEventWorks;retranslated;pass
org.ligi.passandroid;TestPassEditActivityTypes;testSetToStoreCardWorks;retranslated;pass
org.ligi.passandroid;TestEditPassProperties;testCanSetAltMessage;retranslated;pass
org.ligi.passandroid;TestEditPassProperties;testCanSetMessage;retranslated;pass
org.ligi.passandroid;TestEditPassProperties;testCanSetToAZTEC;retranslated;pass
org.ligi.passandroid;TestEditPassProperties;testCanSetToPDF417;retranslated;pass
org.ligi.passandroid;TestEditPassProperties;testCanSetToQR;retranslated;pass
org.ligi.passandroid;TestEditPassProperties;testSetDescriptionWorks;retranslated;pass
org.ligi.passandroid;TestCreatePassTabs;testCalendarIsShown;retranslated;pass
org.ligi.passandroid;TestCreatePassTabs;testColorWheelIsThere;retranslated;pass
org.ligi.passandroid;TestCreatePassTabs;testImageOptionsAreThere;retranslated;pass
org.ligi.passandroid;TestCreatePassTabs;testSwipeBackToFirstPage;retranslated;pass
org.ligi.passandroid;TestCreatePassTabs;testTimePickerWorks;retranslated;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testCheckServerIsRight;original;fail
ar.rulosoft.mimanganu;TestInterfaceBasic;testSettingsMenu1;original;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testSettingsMenu2;original;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testDownloadMenu;original;fail
ar.rulosoft.mimanganu;TestInterfaceBasic;testSearchUnsearchUpdates;original;fail
ar.rulosoft.mimanganu;TestInterfaceBasic;testAddManga;original;fail
ar.rulosoft.mimanganu;TestInterfaceBasic;testCheckMangaChapters;original;fail
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsReader;original;fail
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsDirection;original;fail
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsFit;original;fail
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsReaderFit;original;fail
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsAwake;original;fail
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsScreen;original;fail
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testSelectDeselectAll;original;fail
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testMarkAllAsReadUnread;original;fail
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testHideAlreadyRead;original;fail
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testHideAlreadyReadInside;original;fail
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByChapterNumber;original;fail
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByTitle;original;fail
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByTitleReverse;original;fail
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByAsAdded;original;fail
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByAsAddedDesc;original;fail
ar.rulosoft.mimanganu;TestSortChaptersDelete;testDeleteFromInside;original;fail
ar.rulosoft.mimanganu;TestSortChaptersDelete;testDeleteLongClick;original;fail
ar.rulosoft.mimanganu;TestAdvancedFeatures;testMoveToVault;original;fail
ar.rulosoft.mimanganu;TestAdvancedFeatures;testRemoveFromVault;original;fail
ar.rulosoft.mimanganu;TestAdvancedFeatures;testMultipleManga;original;fail
ar.rulosoft.mimanganu;TestAdvancedFeatures;testRightSearch;original;fail
ar.rulosoft.mimanganu;TestAdvancedFeatures;testWrongSearch;original;fail
ar.rulosoft.mimanganu;TestAdvancedFeatures;testSortManga;original;fail
ar.rulosoft.mimanganu;TestInterfaceBasic;testCheckServerIsRight;retranslated;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testSettingsMenu1;retranslated;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testSettingsMenu2;retranslated;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testDownloadMenu;retranslated;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testSearchUnsearchUpdates;retranslated;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testAddManga;retranslated;pass
ar.rulosoft.mimanganu;TestInterfaceBasic;testCheckMangaChapters;retranslated;pass
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsReader;retranslated;pass
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsDirection;retranslated;pass
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsFit;retranslated;pass
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsReaderFit;retranslated;pass
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsAwake;retranslated;pass
ar.rulosoft.mimanganu;TestMangaVisualizationOptions;testOptionsScreen;retranslated;pass
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testSelectDeselectAll;retranslated;pass
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testMarkAllAsReadUnread;retranslated;pass
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testHideAlreadyRead;retranslated;pass
ar.rulosoft.mimanganu;TestReadUnreadChapterEnhanced;testHideAlreadyReadInside;retranslated;pass
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByChapterNumber;retranslated;pass
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByTitle;retranslated;pass
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByTitleReverse;retranslated;pass
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByAsAdded;retranslated;pass
ar.rulosoft.mimanganu;TestSortChaptersDelete;testSortByAsAddedDesc;retranslated;pass
ar.rulosoft.mimanganu;TestSortChaptersDelete;testDeleteFromInside;retranslated;pass
ar.rulosoft.mimanganu;TestSortChaptersDelete;testDeleteLongClick;retranslated;pass
ar.rulosoft.mimanganu;TestAdvancedFeatures;testMoveToVault;retranslated;pass
ar.rulosoft.mimanganu;TestAdvancedFeatures;testRemoveFromVault;retranslated;pass
ar.rulosoft.mimanganu;TestAdvancedFeatures;testMultipleManga;retranslated;pass
ar.rulosoft.mimanganu;TestAdvancedFeatures;testRightSearch;retranslated;pass
ar.rulosoft.mimanganu;TestAdvancedFeatures;testWrongSearch;retranslated;pass
ar.rulosoft.mimanganu;TestAdvancedFeatures;testSortManga;retranslated;pass